dataset	algorithm	purity	clustering_time_elapsed
spambase_shuffle_0	IKSHC	0.479831	0.746702
spambase_shuffle_1	IKSHC	0.445816	0.127479
spambase_shuffle_2	IKSHC	0.452121	0.117903
spambase_shuffle_3	IKSHC	0.485698	0.133500
spambase_shuffle_4	IKSHC	0.446257	0.132558
spambase_shuffle_5	IKSHC	0.428002	0.174657
spambase_shuffle_6	IKSHC	0.467246	0.129848
spambase_shuffle_7	IKSHC	0.492642	0.138415
spambase_shuffle_8	IKSHC	0.454677	0.198048
spambase_shuffle_9	IKSHC	0.522369	0.131534
spambase_shuffle_0	IKSHC	0.615765	4.905286
spambase_shuffle_0	IKSHC	0.577706	4.851617
spambase_shuffle_0	IKSHC	0.605265	4.788447
