5000,0.13 
10000,10.38 
15000,16.34 
20000,22.44 
25000,28.38 
30000,34.33 
35000,40.53 
40000,46.79 
45000,52.86 
50000,59.33 
55000,65.59 
60000,71.62 
65000,77.96 
70000,84.44 
75000,90.53 
80000,96.74 
85000,102.75 
90000,109.17 
95000,115.32 
100000,121.46 
105000,127.56 
5000,0.13 
10000,13.62 
15000,21.01 
20000,28.60 
25000,36.02 
30000,43.79 
35000,51.64 
40000,59.59 
45000,67.45 
50000,75.64 
55000,83.36 
60000,91.22 
65000,99.70 
70000,107.49 
75000,115.19 
80000,123.51 
85000,132.13 
90000,140.56 
95000,148.69 
100000,156.50 
105000,164.29 
5000,0.13 
10000,0.27 
15000,0.40 
20000,0.53 
25000,252.12 
30000,470.24 
35000,765.36 
40000,1148.77 
45000,1617.99 
50000,2168.73 
55000,2810.54 
60000,3551.91 
65000,4390.86 
70000,5341.14 
75000,6409.75 
80000,7602.28 
85000,8946.35 
90000,10442.61 
95000,12126.03 
100000,13997.42 
105000,16100.86 
5000,0.14 
10000,9.38 
15000,14.82 
20000,20.36 
25000,25.92 
30000,31.44 
35000,37.11 
40000,42.83 
45000,48.45 
50000,54.28 
55000,60.07 
60000,65.84 
65000,71.58 
70000,77.64 
75000,83.41 
80000,89.26 
85000,95.17 
90000,101.48 
95000,107.41 
100000,113.45 
105000,119.32 
5000,0.14 
10000,9.42 
15000,14.86 
20000,20.45 
25000,26.15 
30000,31.73 
35000,37.50 
40000,43.61 
45000,49.57 
50000,55.60 
55000,61.49 
60000,67.63 
65000,73.57 
70000,79.70 
75000,85.79 
80000,91.77 
85000,97.68 
90000,104.00 
95000,109.97 
100000,115.95 
105000,121.92 
